Array name	Sample name	Batch
5500024024213121906563.A02	5500024024213121906563.A02	630
5500024024213121906563.A03	5500024024213121906563.A03	630
5500024024213121906563.A04	5500024024213121906563.A04	630
5500024024213121906563.A05	5500024024213121906563.A05	630
5500024024213121906563.A07	5500024024213121906563.A07	631
5500024024213121906563.A08	5500024024213121906563.A08	631
5500024024213121906563.A09	5500024024213121906563.A09	631
5500024024213121906563.A10	5500024024213121906563.A10	631
5500024024213121906563.A11	5500024024213121906563.A11	631
5500024024213121906563.B01	5500024024213121906563.B01	630
5500024024213121906563.B02	5500024024213121906563.B02	630
5500024024213121906563.B03	5500024024213121906563.B03	630
5500024024213121906563.B04	5500024024213121906563.B04	630
5500024024213121906563.B06	5500024024213121906563.B06	630
5500024024213121906563.B07	5500024024213121906563.B07	631
5500024024213121906563.B08	5500024024213121906563.B08	631
5500024024213121906563.B09	5500024024213121906563.B09	631
5500024024213121906563.B10	5500024024213121906563.B10	631
5500024024213121906563.B12	5500024024213121906563.B12	631
5500024024213121906563.C01	5500024024213121906563.C01	630
5500024024213121906563.C02	5500024024213121906563.C02	630
5500024024213121906563.C03	5500024024213121906563.C03	630
5500024024213121906563.C04	5500024024213121906563.C04	630
5500024024213121906563.C05	5500024024213121906563.C05	630
5500024024213121906563.C06	5500024024213121906563.C06	630
5500024024213121906563.C07	5500024024213121906563.C07	631
5500024024213121906563.C08	5500024024213121906563.C08	631
5500024024213121906563.C09	5500024024213121906563.C09	631
5500024024213121906563.C10	5500024024213121906563.C10	631
5500024024213121906563.C11	5500024024213121906563.C11	631
5500024024213121906563.C12	5500024024213121906563.C12	631
5500024024213121906563.D01	5500024024213121906563.D01	630
5500024024213121906563.D02	5500024024213121906563.D02	630
5500024024213121906563.D03	5500024024213121906563.D03	630
5500024024213121906563.D05	5500024024213121906563.D05	630
5500024024213121906563.D06	5500024024213121906563.D06	630
5500024024213121906563.D07	5500024024213121906563.D07	631
5500024024213121906563.D08	5500024024213121906563.D08	631
5500024024213121906563.D09	5500024024213121906563.D09	631
5500024024213121906563.D11	5500024024213121906563.D11	631
5500024024213121906563.D12	5500024024213121906563.D12	631
5500024024213121906563.F01	5500024024213121906563.F01	630
5500024024213121906563.F02	5500024024213121906563.F02	630
5500024024213121906563.F03	5500024024213121906563.F03	630
5500024024213121906563.F04	5500024024213121906563.F04	630
5500024024213121906563.F05	5500024024213121906563.F05	630
5500024024213121906563.F06	5500024024213121906563.F06	630
5500024024213121906563.F07	5500024024213121906563.F07	631
5500024024213121906563.F08	5500024024213121906563.F08	631
5500024024213121906563.F09	5500024024213121906563.F09	631
5500024024213121906563.F10	5500024024213121906563.F10	631
5500024024213121906563.F11	5500024024213121906563.F11	631
5500024024213121906563.F12	5500024024213121906563.F12	631
5500024024213121906563.G01	5500024024213121906563.G01	630
5500024024213121906563.G03	5500024024213121906563.G03	630
5500024024213121906563.G04	5500024024213121906563.G04	630
5500024024213121906563.G05	5500024024213121906563.G05	630
5500024024213121906563.G06	5500024024213121906563.G06	630
5500024024213121906563.G07	5500024024213121906563.G07	631
5500024024213121906563.G09	5500024024213121906563.G09	631
5500024024213121906563.G10	5500024024213121906563.G10	631
5500024024213121906563.G11	5500024024213121906563.G11	631
5500024024213121906563.G12	5500024024213121906563.G12	631
5500024024213121906563.H02	5500024024213121906563.H02	630
5500024024213121906563.H03	5500024024213121906563.H03	630
5500024024213121906563.H04	5500024024213121906563.H04	630
5500024024213121906563.H05	5500024024213121906563.H05	630
5500024024213121906563.H06	5500024024213121906563.H06	630
5500024024213121906563.H08	5500024024213121906563.H08	631
5500024024213121906563.H09	5500024024213121906563.H09	631
5500024024213121906563.H10	5500024024213121906563.H10	631
5500024024213121906563.H11	5500024024213121906563.H11	631
5500024024213121906563.H12	5500024024213121906563.H12	631
5500024024213121906558.A01	5500024024213121906558.A01	642
5500024024213121906558.A02	5500024024213121906558.A02	642
5500024024213121906558.A03	5500024024213121906558.A03	642
5500024024213121906558.A04	5500024024213121906558.A04	642
5500024024213121906558.A05	5500024024213121906558.A05	642
5500024024213121906558.B01	5500024024213121906558.B01	642
5500024024213121906558.B02	5500024024213121906558.B02	642
5500024024213121906558.B04	5500024024213121906558.B04	642
5500024024213121906558.C01	5500024024213121906558.C01	642
5500024024213121906558.C02	5500024024213121906558.C02	642
5500024024213121906558.C04	5500024024213121906558.C04	642
5500024024213121906558.C05	5500024024213121906558.C05	642
5500024024213121906558.D01	5500024024213121906558.D01	642
5500024024213121906558.D02	5500024024213121906558.D02	642
5500024024213121906558.D03	5500024024213121906558.D03	642
